start,end,lenght
2022-01-19 00:20:00,2022-01-19 00:25:00,0 days 00:05:00
2022-01-19 01:15:00,2022-01-19 01:30:00,0 days 00:15:00
2022-01-19 01:40:00,2022-01-19 02:00:00,0 days 00:20:00
2022-01-19 02:25:00,2022-01-19 02:40:00,0 days 00:15:00
2022-01-20 00:20:00,2022-01-20 00:45:00,0 days 00:25:00
2022-01-20 01:15:00,2022-01-20 02:10:00,0 days 00:55:00
2022-01-21 00:15:00,2022-01-21 00:30:00,0 days 00:15:00
2022-01-21 00:40:00,2022-01-21 00:45:00,0 days 00:05:00
2022-01-21 01:20:00,2022-01-21 01:25:00,0 days 00:05:00
2022-01-21 01:40:00,2022-01-21 02:10:00,0 days 00:30:00
2022-01-21 02:30:00,2022-01-21 02:40:00,0 days 00:10:00
2022-01-21 03:35:00,2022-01-21 03:40:00,0 days 00:05:00
2022-01-21 05:55:00,2022-01-21 06:10:00,0 days 00:15:00
2022-01-22 00:20:00,2022-01-22 00:30:00,0 days 00:10:00
2022-01-22 01:20:00,2022-01-22 01:25:00,0 days 00:05:00
2022-01-22 01:40:00,2022-01-22 02:10:00,0 days 00:30:00
2022-01-22 02:25:00,2022-01-22 02:35:00,0 days 00:10:00
2022-01-23 01:40:00,2022-01-23 01:50:00,0 days 00:10:00
2022-01-23 02:25:00,2022-01-23 03:00:00,0 days 00:35:00
2022-01-23 06:25:00,2022-01-23 06:35:00,0 days 00:10:00
2022-01-23 07:35:00,2022-01-23 08:05:00,0 days 00:30:00
2022-01-25 00:35:00,2022-01-25 00:45:00,0 days 00:10:00
2022-01-25 01:15:00,2022-01-25 01:30:00,0 days 00:15:00
2022-01-26 00:20:00,2022-01-26 00:30:00,0 days 00:10:00
2022-01-26 01:40:00,2022-01-26 02:00:00,0 days 00:20:00
2022-01-26 02:25:00,2022-01-26 02:45:00,0 days 00:20:00
2022-01-26 02:50:00,2022-01-26 02:55:00,0 days 00:05:00
2022-01-26 03:30:00,2022-01-26 03:40:00,0 days 00:10:00
2022-01-27 00:15:00,2022-01-27 00:30:00,0 days 00:15:00
2022-01-27 00:35:00,2022-01-27 00:45:00,0 days 00:10:00
2022-01-27 01:05:00,2022-01-27 01:30:00,0 days 00:25:00
2022-01-27 01:40:00,2022-01-27 01:55:00,0 days 00:15:00
2022-01-27 02:25:00,2022-01-27 02:40:00,0 days 00:15:00
2022-01-28 00:15:00,2022-01-28 00:30:00,0 days 00:15:00
2022-01-28 01:40:00,2022-01-28 02:00:00,0 days 00:20:00
2022-01-28 02:15:00,2022-01-28 02:40:00,0 days 00:25:00
2022-01-29 00:15:00,2022-01-29 00:30:00,0 days 00:15:00
2022-01-29 01:20:00,2022-01-29 01:25:00,0 days 00:05:00
2022-01-29 01:35:00,2022-01-29 02:05:00,0 days 00:30:00
2022-01-29 02:40:00,2022-01-29 03:00:00,0 days 00:20:00
2022-01-29 12:30:00,2022-01-29 13:10:00,0 days 00:40:00
2022-01-30 01:25:00,2022-01-30 02:25:00,0 days 01:00:00
2022-01-30 02:30:00,2022-01-30 02:35:00,0 days 00:05:00
2022-01-30 02:45:00,2022-01-30 03:10:00,0 days 00:25:00
2022-01-30 03:15:00,2022-01-30 03:30:00,0 days 00:15:00
2022-01-30 03:35:00,2022-01-30 03:55:00,0 days 00:20:00
2022-01-30 04:05:00,2022-01-30 04:20:00,0 days 00:15:00
2022-01-30 05:10:00,2022-01-30 05:35:00,0 days 00:25:00
2022-01-30 05:45:00,2022-01-30 06:15:00,0 days 00:30:00
2022-01-30 06:20:00,2022-01-30 08:25:00,0 days 02:05:00
2022-02-07 06:00:00,2022-02-07 06:10:00,0 days 00:10:00
2022-02-07 08:45:00,2022-02-07 11:45:00,0 days 03:00:00
2022-02-08 00:35:00,2022-02-08 00:50:00,0 days 00:15:00
2022-02-08 01:20:00,2022-02-08 01:25:00,0 days 00:05:00
2022-02-08 01:35:00,2022-02-08 01:50:00,0 days 00:15:00
2022-02-08 05:55:00,2022-02-08 06:05:00,0 days 00:10:00
2022-02-09 00:40:00,2022-02-09 00:50:00,0 days 00:10:00
2022-02-09 01:15:00,2022-02-09 01:25:00,0 days 00:10:00
2022-02-09 01:40:00,2022-02-09 01:55:00,0 days 00:15:00
2022-02-10 00:20:00,2022-02-10 00:35:00,0 days 00:15:00
2022-02-10 00:40:00,2022-02-10 00:55:00,0 days 00:15:00
2022-02-10 01:20:00,2022-02-10 01:45:00,0 days 00:25:00
2022-02-10 01:50:00,2022-02-10 02:00:00,0 days 00:10:00
2022-02-10 02:15:00,2022-02-10 02:35:00,0 days 00:20:00
2022-02-10 02:55:00,2022-02-10 03:05:00,0 days 00:10:00
2022-02-10 03:15:00,2022-02-10 03:20:00,0 days 00:05:00
2022-02-10 03:30:00,2022-02-10 03:45:00,0 days 00:15:00
2022-02-10 04:30:00,2022-02-10 04:45:00,0 days 00:15:00
2022-02-10 05:05:00,2022-02-10 05:15:00,0 days 00:10:00
2022-02-10 05:35:00,2022-02-10 06:10:00,0 days 00:35:00
2022-02-11 00:35:00,2022-02-11 00:50:00,0 days 00:15:00
2022-02-11 01:10:00,2022-02-11 01:25:00,0 days 00:15:00
2022-02-11 01:40:00,2022-02-11 02:00:00,0 days 00:20:00
2022-02-11 06:00:00,2022-02-11 06:05:00,0 days 00:05:00
2022-02-12 00:15:00,2022-02-12 00:35:00,0 days 00:20:00
2022-02-12 00:40:00,2022-02-12 00:50:00,0 days 00:10:00
2022-02-12 01:20:00,2022-02-12 01:25:00,0 days 00:05:00
2022-02-12 01:40:00,2022-02-12 02:05:00,0 days 00:25:00
2022-02-12 02:20:00,2022-02-12 02:40:00,0 days 00:20:00
2022-02-13 01:30:00,2022-02-13 02:55:00,0 days 01:25:00
2022-02-13 05:10:00,2022-02-13 05:25:00,0 days 00:15:00
2022-02-13 05:45:00,2022-02-13 06:05:00,0 days 00:20:00
2022-02-13 06:25:00,2022-02-13 06:40:00,0 days 00:15:00
2022-02-13 07:50:00,2022-02-13 08:25:00,0 days 00:35:00
2022-02-28 00:10:00,2022-02-28 00:25:00,0 days 00:15:00
2022-02-28 06:10:00,2022-02-28 06:30:00,0 days 00:20:00
2022-02-28 09:55:00,2022-02-28 10:30:00,0 days 00:35:00
2022-02-28 10:35:00,2022-02-28 11:25:00,0 days 00:50:00
2022-03-01 00:35:00,2022-03-01 00:55:00,0 days 00:20:00
2022-03-01 01:00:00,2022-03-01 01:15:00,0 days 00:15:00
2022-03-01 01:20:00,2022-03-01 01:45:00,0 days 00:25:00
2022-03-01 01:50:00,2022-03-01 02:05:00,0 days 00:15:00
2022-03-01 02:30:00,2022-03-01 02:35:00,0 days 00:05:00
2022-03-01 02:50:00,2022-03-01 03:05:00,0 days 00:15:00
2022-03-01 03:35:00,2022-03-01 03:50:00,0 days 00:15:00
2022-03-01 05:50:00,2022-03-01 06:05:00,0 days 00:15:00
2022-03-01 06:25:00,2022-03-01 06:40:00,0 days 00:15:00
2022-03-01 10:25:00,2022-03-01 10:30:00,0 days 00:05:00
2022-03-01 10:35:00,2022-03-01 10:40:00,0 days 00:05:00
2022-03-01 11:05:00,2022-03-01 11:20:00,0 days 00:15:00
2022-03-01 12:10:00,2022-03-01 12:20:00,0 days 00:10:00
2022-03-01 19:35:00,2022-03-01 19:45:00,0 days 00:10:00
2022-03-02 00:15:00,2022-03-02 00:35:00,0 days 00:20:00
2022-03-02 00:40:00,2022-03-02 00:50:00,0 days 00:10:00
2022-03-02 01:05:00,2022-03-02 02:05:00,0 days 01:00:00
2022-03-02 02:15:00,2022-03-02 02:40:00,0 days 00:25:00
2022-03-02 02:45:00,2022-03-02 02:50:00,0 days 00:05:00
2022-03-02 03:30:00,2022-03-02 03:40:00,0 days 00:10:00
2022-03-03 00:20:00,2022-03-03 00:55:00,0 days 00:35:00
2022-03-03 01:10:00,2022-03-03 01:25:00,0 days 00:15:00
2022-03-03 01:30:00,2022-03-03 02:05:00,0 days 00:35:00
2022-03-03 02:20:00,2022-03-03 02:35:00,0 days 00:15:00
2022-03-03 06:10:00,2022-03-03 06:20:00,0 days 00:10:00
2022-03-03 10:45:00,2022-03-03 10:50:00,0 days 00:05:00
2022-03-04 00:35:00,2022-03-04 00:55:00,0 days 00:20:00
2022-03-04 01:10:00,2022-03-04 02:00:00,0 days 00:50:00
2022-03-04 02:25:00,2022-03-04 02:40:00,0 days 00:15:00
2022-03-04 03:30:00,2022-03-04 03:45:00,0 days 00:15:00
2022-03-05 01:20:00,2022-03-05 02:40:00,0 days 01:20:00
