start,end,lenght
2022-03-06 01:25:00,2022-03-06 02:40:00,0 days 01:15:00
2022-03-06 02:45:00,2022-03-06 03:00:00,0 days 00:15:00
2022-03-06 05:15:00,2022-03-06 06:00:00,0 days 00:45:00
2022-03-06 06:05:00,2022-03-06 06:15:00,0 days 00:10:00
2022-03-06 08:25:00,2022-03-06 08:35:00,0 days 00:10:00
2022-03-07 00:15:00,2022-03-07 00:30:00,0 days 00:15:00
2022-03-07 01:35:00,2022-03-07 02:35:00,0 days 01:00:00
2022-03-07 05:25:00,2022-03-07 05:30:00,0 days 00:05:00
2022-03-07 12:05:00,2022-03-07 12:35:00,0 days 00:30:00
2022-03-07 12:40:00,2022-03-07 12:50:00,0 days 00:10:00
2022-03-07 13:20:00,2022-03-07 13:35:00,0 days 00:15:00
2022-03-07 15:25:00,2022-03-07 15:40:00,0 days 00:15:00
2022-03-07 15:55:00,2022-03-07 16:10:00,0 days 00:15:00
2022-03-07 18:45:00,2022-03-07 19:00:00,0 days 00:15:00
2022-03-08 00:45:00,2022-03-08 01:10:00,0 days 00:25:00
2022-03-08 01:20:00,2022-03-08 01:35:00,0 days 00:15:00
2022-03-08 01:40:00,2022-03-08 03:00:00,0 days 01:20:00
2022-03-08 03:30:00,2022-03-08 03:40:00,0 days 00:10:00
2022-03-08 05:10:00,2022-03-08 05:25:00,0 days 00:15:00
2022-03-08 05:55:00,2022-03-08 06:10:00,0 days 00:15:00
2022-03-09 01:10:00,2022-03-09 01:55:00,0 days 00:45:00
2022-03-09 02:25:00,2022-03-09 02:45:00,0 days 00:20:00
2022-03-09 03:30:00,2022-03-09 03:45:00,0 days 00:15:00
2022-03-10 00:35:00,2022-03-10 00:55:00,0 days 00:20:00
2022-03-10 01:20:00,2022-03-10 02:05:00,0 days 00:45:00
2022-03-10 03:30:00,2022-03-10 03:45:00,0 days 00:15:00
2022-03-10 05:10:00,2022-03-10 05:15:00,0 days 00:05:00
2022-03-10 10:05:00,2022-03-10 10:20:00,0 days 00:15:00
2022-03-11 00:40:00,2022-03-11 00:55:00,0 days 00:15:00
2022-03-11 01:30:00,2022-03-11 01:55:00,0 days 00:25:00
2022-03-11 05:20:00,2022-03-11 05:25:00,0 days 00:05:00
2022-03-11 10:55:00,2022-03-11 11:15:00,0 days 00:20:00
2022-03-12 00:20:00,2022-03-12 00:50:00,0 days 00:30:00
2022-03-12 01:40:00,2022-03-12 02:00:00,0 days 00:20:00
2022-03-13 01:40:00,2022-03-13 02:05:00,0 days 00:25:00
2022-03-13 02:20:00,2022-03-13 02:55:00,0 days 00:35:00
2022-03-13 05:55:00,2022-03-13 06:40:00,0 days 00:45:00
2022-03-13 07:25:00,2022-03-13 08:30:00,0 days 01:05:00
